trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.65, 'e': 0.7511459686759877}",20,9,-86.14319607852833,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 2}",1
104,False,"{'a': 0.65, 'e': 0.7465066503774105}",30,16,2.454914908899611,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.65, 'e': 0.7418307534023283}",25,11,-1.4497030288232549,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.65, 'e': 0.7371185068687569}",25,6,-96.78613784701905,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 2}",1
107,False,"{'a': 0.65, 'e': 0.7323701416758338}",20,0,-72.72898695052127,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
108,False,"{'a': 0.65, 'e': 0.7275858904925034}",20,8,-40.6623060077796,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 0}",1
109,False,"{'a': 0.65, 'e': 0.7227659877461166}",20,0,-130.1835337890348,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
110,False,"{'a': 0.65, 'e': 0.7179106696109434}",25,17,2.7094419233340554,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.65, 'e': 0.7130201739966009}",25,0,-36.92647896137724,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
112,False,"{'a': 0.65, 'e': 0.7080947405363958}",25,0,-70.83504182092263,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
113,False,"{'a': 0.65, 'e': 0.7031346105755822}",20,3,-56.44697011137568,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
114,False,"{'a': 0.65, 'e': 0.6981400271595357}",20,3,-27.33103863464297,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
115,False,"{'a': 0.65, 'e': 0.6931112350218442}",25,0,-127.64460216946067,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
116,False,"{'a': 0.65, 'e': 0.6880484805723165}",20,0,2.891794301668263,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
117,False,"{'a': 0.65, 'e': 0.6829520118849076}",25,0,-124.65521975004188,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
118,False,"{'a': 0.65, 'e': 0.6778220786855633}",20,0,-59.70889847747994,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
119,False,"{'a': 0.65, 'e': 0.6726589323399843}",25,15,18.32822007433618,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.65, 'e': 0.6674628258413082}",30,2,-29.805754602764726,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 0}",1
121,False,"{'a': 0.65, 'e': 0.6622340137977137}",25,0,-245.57137798006246,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 6}",0
122,False,"{'a': 0.65, 'e': 0.656972752419945}",25,7,-43.05261932819686,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 0}",1
123,False,"{'a': 0.65, 'e': 0.6516792995087568}",20,0,-116.95758644584703,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",1
124,False,"{'a': 0.65, 'e': 0.6463539144422826}",25,9,-11.21011697361776,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
125,False,"{'a': 0.65, 'e': 0.6409968581633252}",20,0,-87.47426579723282,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
126,False,"{'a': 0.65, 'e': 0.6356083931665704}",25,0,-73.17860762338039,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
127,False,"{'a': 0.65, 'e': 0.6301887834857247}",20,0,-126.439406299127,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
128,False,"{'a': 0.65, 'e': 0.6247382946805784}",25,2,-107.53688190692128,"{0: 17, 1: 2, 2: 0, 3: 2, 4: 2}",1
129,False,"{'a': 0.65, 'e': 0.6192571938239922}",20,12,2.0061442618908174,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.65, 'e': 0.6137457494888116}",25,0,-136.4889049911977,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
131,False,"{'a': 0.65, 'e': 0.6082042317347061}",20,10,9.177857144608733,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.65, 'e': 0.6026329120949369}",25,9,-45.257778810959245,"{0: 11, 1: 2, 2: 1, 3: 2, 4: 0}",1
133,False,"{'a': 0.65, 'e': 0.5970320635630515}",20,0,-44.95496113486922,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
